,Unnamed: 0,param,train_site,val_site,n_iter,train_loss0,train_loss1,train_loss2,train_loss3,train_loss4,val_loss0,val_loss1,val_loss2,val_loss3,val_loss4,test_loss0,test_loss1,test_loss2,test_loss3,test_loss4,booster,colsample_bytree,dr,eta,eval_metric,gamma,lambda,max_depth,n_estimators,nthread,prec,subsample,test_site,train_loss,sdtrain_loss,val_loss,sdval_loss,test_loss,sdtest_loss,type,prefix
25908,25908,332,Bafodia,Bantou,650,0.0620568390479067,0.0591019143367572,0.061428593582693,0.0583318800288309,0.0581623481919059,0.1731451429365263,0.1741475450058623,0.174145375700464,0.1734600903467601,0.1743676263707541,0.1348586718437003,0.1359937663385752,0.1364202841057408,0.1361576078530979,0.1364553227026442,gbtree,0.2,0,0.01,rmse,0.1,0,4,2000,2,True,0.25,Tanganya,0.0608624489891189,0.001556690331365,0.1738126878809509,0.0005781118975523,0.1357575740960054,0.0008071544436019,gamma,Fit_all_scaled_multigrid1_gamma_new50
37068,37068,475,Bafodia,Tanganya,950,0.058139851657606,0.054321233654484,0.0561183341980669,0.0532809828825474,0.0528667177872397,0.1704014395029368,0.172777800240683,0.1729735151800739,0.1717361985360271,0.1732275469156056,0.1962440680419214,0.1990877224164765,0.1982664064827681,0.198438879575832,0.1986549828691294,gbtree,0.3,0,0.01,rmse,0.1,0,4,2000,2,True,0.25,Bantou,0.0561931398367189,0.0019104077512726,0.1720509183078979,0.0014318384442342,0.1978660656470553,0.0014634880044045,gamma,Fit_all_scaled_multigrid1_gamma_new50
5824,5824,74,Bantou,Bafodia,700,0.0298304387787523,0.0307085955891893,0.0300917297040202,0.0306911253111827,0.030829418744292,0.1083413193881046,0.1093907941956928,0.109636626276477,0.1086171382417506,0.107843139713386,0.0359689150924146,0.0359773839081822,0.0361059926617289,0.0362249511219393,0.0358724679602717,gbtree,0.3,0,0.01,rmse,0.0,0,1,2000,2,True,0.001,Tanganya,0.0302102546906539,0.0004509168163548,0.1091229132867582,0.0006879499398902,0.0360174305541086,7.681383592651639e-05,md1,Fit_all_scaled_multigrid1_md1_new50
5413,5413,69,Bantou,Tanganya,1600,0.0219669301598842,0.0221169654375966,0.0217724854506263,0.0220987430259112,0.0221931803431555,0.0325742961433257,0.0322688095085502,0.0322401809876373,0.0321702693390445,0.0324601016654345,0.1135021079202712,0.1147243109242587,0.1149748987863634,0.1136125718333283,0.1134993328100559,gbtree,0.2,0,0.01,rmse,0.0,0,1,2000,2,True,0.5,Bafodia,0.0219521270160357,0.0001727164298977,0.0323610955465044,0.0001851911685694,0.1144004392102977,0.0007880024740691,md1,Fit_all_scaled_multigrid1_md1_new50
3873,3873,49,Tanganya,Bafodia,650,0.0284381350399092,0.0284898235191126,0.0283664122921745,0.0284348441388,0.0282925940504134,0.1071862609449794,0.1086009084407864,0.1084646927548761,0.1075040349936354,0.1069476682857451,0.0427979940304426,0.0431765247983631,0.0431433080863868,0.0430039600103305,0.0431556390551737,gbtree,0.2,0,0.01,rmse,0.0,0,1,2000,2,True,0.001,Bantou,0.0284314569503987,6.197604693125291e-05,0.1080839540468806,0.0007804026891117,0.0430392756383975,0.0002096150000395,md1,Fit_all_scaled_multigrid1_md1_new50
31660,31660,405,Tanganya,Bantou,1600,0.021848425717609,0.0218438004060468,0.0219946858131393,0.0218892500392245,0.0218304709878545,0.0295672993351225,0.0298669009681447,0.0296438438970833,0.0298540064638225,0.0298874134030477,0.1203476959738583,0.1216286308642147,0.1220475026671342,0.1203267493632985,0.1201940237557433,gbtree,0.2,0,0.01,rmse,2.0,0,4,2000,2,True,0.5,Bafodia,0.021895637312265,8.580968780296986e-05,0.0296926814001169,0.0001556570297297,0.1213412765017357,0.0008855874298188,gamma,Fit_all_scaled_multigrid1_gamma_new50
