,Unnamed: 0,param,train_site,val_site,n_iter,train_loss0,train_loss1,train_loss2,train_loss3,train_loss4,val_loss0,val_loss1,val_loss2,val_loss3,val_loss4,test_loss0,test_loss1,test_loss2,test_loss3,test_loss4,booster,colsample_bytree,dr,eta,eval_metric,gamma,lambda,max_depth,n_estimators,nthread,prec,subsample,test_site,train_loss,sdtrain_loss,val_loss,sdval_loss,test_loss,sdtest_loss,type,prefix
25908,25908,332,Bafodia,Bantou,650,0.0620568390479067,0.0591019143367572,0.061428593582693,0.0583318800288309,0.0581623481919059,0.1731451429365263,0.1741475450058623,0.174145375700464,0.1734600903467601,0.1743676263707541,0.1348586718437003,0.1359937663385752,0.1364202841057408,0.1361576078530979,0.1364553227026442,gbtree,0.2,0,0.01,rmse,0.1,0,4,2000,2,True,0.25,Tanganya,0.0608624489891189,0.001556690331365,0.1738126878809509,0.0005781118975523,0.1357575740960054,0.0008071544436019,gamma,Fit_all_scaled_multigrid1_gamma_new50
37068,37068,475,Bafodia,Tanganya,950,0.058139851657606,0.054321233654484,0.0561183341980669,0.0532809828825474,0.0528667177872397,0.1704014395029368,0.172777800240683,0.1729735151800739,0.1717361985360271,0.1732275469156056,0.1962440680419214,0.1990877224164765,0.1982664064827681,0.198438879575832,0.1986549828691294,gbtree,0.3,0,0.01,rmse,0.1,0,4,2000,2,True,0.25,Bantou,0.0561931398367189,0.0019104077512726,0.1720509183078979,0.0014318384442342,0.1978660656470553,0.0014634880044045,gamma,Fit_all_scaled_multigrid1_gamma_new50
2083,2083,26,Bantou,Bafodia,850,0.0288298509736059,0.0292666518846249,0.0291376218285943,0.0294118222780438,0.0291733214079058,0.1062282777373744,0.1068994242544836,0.1068525677485251,0.1060658048131407,0.105666659628006,0.0312403311716835,0.031276616167805,0.0311189695784944,0.031286428695064,0.0312428550170994,gbtree,0.1,0,0.01,rmse,0.0,0,1,2000,2,True,0.001,Tanganya,0.0290780415622751,0.0002244128228683,0.106660089913461,0.0003746934741894,0.0312119723059943,8.256076990739483e-05,md1,Fit_all_scaled_multigrid1_md1_new50
5413,5413,69,Bantou,Tanganya,1600,0.0218301400324728,0.022071245625559,0.0216886074787978,0.0220731775343687,0.0221148805895985,0.0323073040563266,0.0321017073858845,0.0320434045287586,0.0321258347590955,0.0323292807893225,0.1163686535724882,0.1173134357091765,0.1176926667578533,0.1161759956840754,0.1162180710714995,gbtree,0.2,0,0.01,rmse,0.0,0,1,2000,2,True,0.5,Bafodia,0.0218633310456099,0.0001934663287345,0.0321508053236566,0.0001386315107858,0.1171249186798393,0.0006818406936504,md1,Fit_all_scaled_multigrid1_md1_new50
5748,5748,73,Tanganya,Bafodia,800,0.0289752701270436,0.0292979466525926,0.0290118054298392,0.0293818660852261,0.0292168773976416,0.1064830100257951,0.107625866032674,0.1074831784109218,0.1064235600125648,0.1059226017752381,0.0520545437212307,0.0526306902472321,0.0523800617021113,0.052479622626151,0.0525280522523722,gbtree,0.3,0,0.01,rmse,0.0,0,1,2000,2,True,0.001,Bantou,0.0290950074031584,0.0001766973721034,0.107197351489797,0.0006227380948236,0.052355098556858,0.0002888833221588,md1,Fit_all_scaled_multigrid1_md1_new50
31660,31660,405,Tanganya,Bantou,1600,0.021848425717609,0.0218438004060468,0.0219946858131393,0.0218892500392245,0.0218304709878545,0.0295672993351225,0.0298669009681447,0.0296438438970833,0.0298540064638225,0.0298874134030477,0.1203476959738583,0.1216286308642147,0.1220475026671342,0.1203267493632985,0.1201940237557433,gbtree,0.2,0,0.01,rmse,2.0,0,4,2000,2,True,0.5,Bafodia,0.021895637312265,8.580968780296986e-05,0.0296926814001169,0.0001556570297297,0.1213412765017357,0.0008855874298188,gamma,Fit_all_scaled_multigrid1_gamma_new50
