Variable,"('Tanganya', 'Bantou')","('Tanganya', 'Bafodia')","('Bantou', 'Tanganya')","('Bantou', 'Bafodia')","('Bafodia', 'Tanganya')","('Bafodia', 'Bantou')",Mean
Frac_water.50,0.0034300464,0.018832874,0.0,0.003989898,0.008914633,0.008786035,0.007325581066666666
Frac_water.500,0.0,0.0052999966,0.0,0.0022337919,0.008529863,0.0087764375,0.004140014833333333
House,0.02876222,0.0,0.23909944,0.0,0.058646057,0.051658385,0.06302768366666667
Night,0.0,0.041573733,0.0027618345,0.0065097483,0.009701527,0.0094731115,0.011669992383333334
P1,0.0074560964,0.01678795,0.0019237865,0.0035512424,0.009819833,0.0101596145,0.008283087133333334
P10,0.009433727,0.0038820326,0.0045445357,0.0,0.011982748,0.012353265,0.00703271805
P11,0.011834458,0.0060883537,0.0,0.0,0.01297158,0.011978511,0.007145483783333333
P12,0.013718595,0.0044535655,0.0012815866,0.0,0.010399753,0.009892363,0.0066243105166666665
P2,0.012305191,0.006701095,0.0015978087,0.012049142,0.011564393,0.012503802,0.009453571950000001
P3,0.006675052,0.001096668,0.0038685456,0.0,0.0093071535,0.008320746,0.004878027516666667
P4,0.012183002,0.006360935,0.0014622051,0.0088538965,0.010867714,0.010611176,0.008389821433333333
P5,0.011701838,0.0069456142,0.0018881554,0.008602023,0.0086931875,0.009556887,0.00789795085
P6,0.013347034,0.00057953293,0.0017786762,0.004950748,0.011308192,0.011788721,0.007292150688333335
P7,0.012087448,0.059307266,0.0043295794,0.0,0.012621807,0.012546103,0.016815367233333333
P8,0.01016046,0.008913668,0.0061480324,0.019184954,0.011211921,0.010160383,0.0109632364
P9,0.01159268,0.0068383245,0.0023782474,0.0,0.015778411,0.017242609,0.008971711983333333
sc_Density_Buildings.100,0.00912678,0.018464789,0.047110356,0.0,0.009218648,0.013885092,0.016300944166666668
sc_Density_Buildings.1000,0.0,0.007102403,0.0,0.0,0.011019972,0.009835929,0.004659717333333333
sc_Density_Buildings.200,0.0,0.0,0.0021724405,2.386719e-05,0.011143875,0.011329173,0.004111559281666666
sc_Density_Buildings.25,0.05231935,0.0,0.004742365,0.0,0.008783626,0.009978222,0.012637260499999999
sc_Density_Buildings.50,0.0330049,0.036272883,0.039179068,0.0,0.010507696,0.011339281,0.021717304666666663
sc_Density_Buildings.500,0.0,0.007263934,0.0036847384,0.00013657389,0.009204227,0.0095657455,0.004975869798333333
sc_Density_Moderns.100,0.014570469,0.0,0.045179624,0.0,0.009995511,0.011312252,0.013509642666666667
sc_Density_Moderns.1000,0.0,0.0028248837,0.0,0.0,0.0099988375,0.009676706,0.0037500712
sc_Density_Moderns.200,0.0,0.027021803,0.0045559267,0.0,0.008864261,0.0088101225,0.008208685533333334
sc_Density_Moderns.25,0.014704763,0.0,0.0035413753,0.0,0.022870727,0.016979981,0.009682807716666667
sc_Density_Moderns.50,0.03841058,0.002640782,0.018998846,0.0,0.0102631375,0.010711798,0.013504190583333332
sc_Density_Moderns.500,0.0,0.02578043,0.0033249722,0.0,0.010602286,0.010301153,0.008334806866666667
sc_Density_Traditionals.100,0.02095602,0.0,0.015866721,0.0,0.011877857,0.0107752895,0.009912647916666666
sc_Density_Traditionals.1000,0.0,0.011613219,0.0,0.0,0.00876356,0.011686512,0.005343881833333332
sc_Density_Traditionals.200,0.012777168,0.0,0.007051843,0.0,0.009145147,0.010959797,0.006655659166666667
sc_Density_Traditionals.25,0.091359,0.0,0.006413657,0.0,0.011482029,0.011289648,0.020090722333333335
sc_Density_Traditionals.50,0.040250316,0.0,0.015423729,0.0,0.00681815,0.0091578895,0.011941680750000001
sc_Density_Traditionals.500,0.0,0.0,0.0028870676,0.0,0.0107985595,0.01052476,0.004035064516666667
