"","Variable","training","validation","vi","Type","Range"
"401","Frac_water.25","GTB","SLTA",0.023297323,"Land cover",25
"402","Frac_water.25","GTA","GTB",0,"Land cover",25
"403","Frac_water.25","GTA","SLTA",0,"Land cover",25
"404","Frac_water.25","SLTA","GTB",0.008967974,"Land cover",25
"405","Frac_water.25","SLTA","GTA",0.0090966495,"Land cover",25
"406","Frac_water.25","Mean",NA,0.00689365775,"Land cover",25
"407","Frac_water.50","GTB","GTA",0.0034300464,"Land cover",50
"408","Frac_water.50","GTB","SLTA",0.018832874,"Land cover",50
"409","Frac_water.50","GTA","GTB",0,"Land cover",50
"410","Frac_water.50","GTA","SLTA",0.003989898,"Land cover",50
"411","Frac_water.50","SLTA","GTB",0.008914633,"Land cover",50
"412","Frac_water.50","SLTA","GTA",0.008786035,"Land cover",50
"413","Frac_water.50","Mean",NA,0.00732558106666666,"Land cover",50
"414","Frac_water.500","GTB","GTA",0,"Land cover",500
"415","Frac_water.500","GTB","SLTA",0.0052999966,"Land cover",500
"416","Frac_water.500","GTA","GTB",0,"Land cover",500
"417","Frac_water.500","GTA","SLTA",0.0022337919,"Land cover",500
"418","Frac_water.500","SLTA","GTB",0.008529863,"Land cover",500
"419","Frac_water.500","SLTA","GTA",0.0087764375,"Land cover",500
"420","Frac_water.500","Mean",NA,0.00414001483333333,"Land cover",500
"421","House","GTB","GTA",0.02876222,"Inside outside",NA
"422","House","GTB","SLTA",0,"Inside outside",NA
"423","House","GTA","GTB",0.23909944,"Inside outside",NA
"424","House","GTA","SLTA",0,"Inside outside",NA
"425","House","SLTA","GTB",0.058646057,"Inside outside",NA
"426","House","SLTA","GTA",0.051658385,"Inside outside",NA
"427","House","Mean",NA,0.0630276836666667,"Inside outside",NA
"428","Night","GTB","GTA",0,"Trap night",NA
"429","Night","GTB","SLTA",0.041573733,"Trap night",NA
"430","Night","GTA","GTB",0.0027618345,"Trap night",NA
"431","Night","GTA","SLTA",0.0065097483,"Trap night",NA
"432","Night","SLTA","GTB",0.009701527,"Trap night",NA
"433","Night","SLTA","GTA",0.0094731115,"Trap night",NA
"434","Night","Mean",NA,0.0116699923833333,"Trap night",NA
"435","P1","GTB","GTA",0.0074560964,"Precip",NA
"436","P1","GTB","SLTA",0.01678795,"Precip",NA
"437","P1","GTA","GTB",0.0019237865,"Precip",NA
"438","P1","GTA","SLTA",0.0035512424,"Precip",NA
"439","P1","SLTA","GTB",0.009819833,"Precip",NA
"440","P1","SLTA","GTA",0.0101596145,"Precip",NA
"441","P1","Mean",NA,0.00828308713333333,"Precip",NA
"442","P10","GTB","GTA",0.009433727,"Precip",NA
"443","P10","GTB","SLTA",0.0038820326,"Precip",NA
"444","P10","GTA","GTB",0.0045445357,"Precip",NA
"445","P10","GTA","SLTA",0,"Precip",NA
"446","P10","SLTA","GTB",0.011982748,"Precip",NA
"447","P10","SLTA","GTA",0.012353265,"Precip",NA
"448","P10","Mean",NA,0.00703271805,"Precip",NA
"449","P11","GTB","GTA",0.011834458,"Precip",NA
"450","P11","GTB","SLTA",0.0060883537,"Precip",NA
"451","P11","GTA","GTB",0,"Precip",NA
"452","P11","GTA","SLTA",0,"Precip",NA
"453","P11","SLTA","GTB",0.01297158,"Precip",NA
"454","P11","SLTA","GTA",0.011978511,"Precip",NA
"455","P11","Mean",NA,0.00714548378333333,"Precip",NA
"456","P12","GTB","GTA",0.013718595,"Precip",NA
"457","P12","GTB","SLTA",0.0044535655,"Precip",NA
"458","P12","GTA","GTB",0.0012815866,"Precip",NA
"459","P12","GTA","SLTA",0,"Precip",NA
"460","P12","SLTA","GTB",0.010399753,"Precip",NA
"461","P12","SLTA","GTA",0.009892363,"Precip",NA
"462","P12","Mean",NA,0.00662431051666666,"Precip",NA
"463","P2","GTB","GTA",0.012305191,"Precip",NA
"464","P2","GTB","SLTA",0.006701095,"Precip",NA
"465","P2","GTA","GTB",0.0015978087,"Precip",NA
"466","P2","GTA","SLTA",0.012049142,"Precip",NA
"467","P2","SLTA","GTB",0.011564393,"Precip",NA
"468","P2","SLTA","GTA",0.012503802,"Precip",NA
"469","P2","Mean",NA,0.00945357195,"Precip",NA
"470","P3","GTB","GTA",0.006675052,"Precip",NA
"471","P3","GTB","SLTA",0.001096668,"Precip",NA
"472","P3","GTA","GTB",0.0038685456,"Precip",NA
"473","P3","GTA","SLTA",0,"Precip",NA
"474","P3","SLTA","GTB",0.0093071535,"Precip",NA
"475","P3","SLTA","GTA",0.008320746,"Precip",NA
"476","P3","Mean",NA,0.00487802751666666,"Precip",NA
"477","P4","GTB","GTA",0.012183002,"Precip",NA
"478","P4","GTB","SLTA",0.006360935,"Precip",NA
"479","P4","GTA","GTB",0.0014622051,"Precip",NA
"480","P4","GTA","SLTA",0.0088538965,"Precip",NA
"481","P4","SLTA","GTB",0.010867714,"Precip",NA
"482","P4","SLTA","GTA",0.010611176,"Precip",NA
"483","P4","Mean",NA,0.00838982143333333,"Precip",NA
"484","P5","GTB","GTA",0.011701838,"Precip",NA
"485","P5","GTB","SLTA",0.0069456142,"Precip",NA
"486","P5","GTA","GTB",0.0018881554,"Precip",NA
"487","P5","GTA","SLTA",0.008602023,"Precip",NA
"488","P5","SLTA","GTB",0.0086931875,"Precip",NA
"489","P5","SLTA","GTA",0.009556887,"Precip",NA
"490","P5","Mean",NA,0.00789795085,"Precip",NA
"491","P6","GTB","GTA",0.013347034,"Precip",NA
"492","P6","GTB","SLTA",0.00057953293,"Precip",NA
"493","P6","GTA","GTB",0.0017786762,"Precip",NA
"494","P6","GTA","SLTA",0.004950748,"Precip",NA
"495","P6","SLTA","GTB",0.011308192,"Precip",NA
"496","P6","SLTA","GTA",0.011788721,"Precip",NA
"497","P6","Mean",NA,0.00729215068833333,"Precip",NA
"498","P7","GTB","GTA",0.012087448,"Precip",NA
"499","P7","GTB","SLTA",0.059307266,"Precip",NA
"500","P7","GTA","GTB",0.0043295794,"Precip",NA
"501","P7","GTA","SLTA",0,"Precip",NA
"502","P7","SLTA","GTB",0.012621807,"Precip",NA
"503","P7","SLTA","GTA",0.012546103,"Precip",NA
"504","P7","Mean",NA,0.0168153672333333,"Precip",NA
"505","P8","GTB","GTA",0.01016046,"Precip",NA
"506","P8","GTB","SLTA",0.008913668,"Precip",NA
"507","P8","GTA","GTB",0.0061480324,"Precip",NA
"508","P8","GTA","SLTA",0.019184954,"Precip",NA
"509","P8","SLTA","GTB",0.011211921,"Precip",NA
"510","P8","SLTA","GTA",0.010160383,"Precip",NA
"511","P8","Mean",NA,0.0109632364,"Precip",NA
"512","P9","GTB","GTA",0.01159268,"Precip",NA
"513","P9","GTB","SLTA",0.0068383245,"Precip",NA
"514","P9","GTA","GTB",0.0023782474,"Precip",NA
"515","P9","GTA","SLTA",0,"Precip",NA
"516","P9","SLTA","GTB",0.015778411,"Precip",NA
"517","P9","SLTA","GTA",0.017242609,"Precip",NA
"518","P9","Mean",NA,0.00897171198333333,"Precip",NA
"519","sc_Density_Buildings.100","GTB","GTA",0.00912678,"Building density scaled",100
"520","sc_Density_Buildings.100","GTB","SLTA",0.018464789,"Building density scaled",100
"521","sc_Density_Buildings.100","GTA","GTB",0.047110356,"Building density scaled",100
"522","sc_Density_Buildings.100","GTA","SLTA",0,"Building density scaled",100
"523","sc_Density_Buildings.100","SLTA","GTB",0.009218648,"Building density scaled",100
"524","sc_Density_Buildings.100","SLTA","GTA",0.013885092,"Building density scaled",100
"525","sc_Density_Buildings.100","Mean",NA,0.0163009441666667,"Building density scaled",100
"526","sc_Density_Buildings.1000","GTB","GTA",0,"Building density scaled",1000
"527","sc_Density_Buildings.1000","GTB","SLTA",0.007102403,"Building density scaled",1000
"528","sc_Density_Buildings.1000","GTA","GTB",0,"Building density scaled",1000
"529","sc_Density_Buildings.1000","GTA","SLTA",0,"Building density scaled",1000
"530","sc_Density_Buildings.1000","SLTA","GTB",0.011019972,"Building density scaled",1000
"531","sc_Density_Buildings.1000","SLTA","GTA",0.009835929,"Building density scaled",1000
"532","sc_Density_Buildings.1000","Mean",NA,0.00465971733333333,"Building density scaled",1000
"533","sc_Density_Buildings.200","GTB","GTA",0,"Building density scaled",200
"534","sc_Density_Buildings.200","GTB","SLTA",0,"Building density scaled",200
"535","sc_Density_Buildings.200","GTA","GTB",0.0021724405,"Building density scaled",200
"536","sc_Density_Buildings.200","GTA","SLTA",2.386719e-05,"Building density scaled",200
"537","sc_Density_Buildings.200","SLTA","GTB",0.011143875,"Building density scaled",200
"538","sc_Density_Buildings.200","SLTA","GTA",0.011329173,"Building density scaled",200
"539","sc_Density_Buildings.200","Mean",NA,0.00411155928166666,"Building density scaled",200
"540","sc_Density_Buildings.25","GTB","GTA",0.05231935,"Building density scaled",25
"541","sc_Density_Buildings.25","GTB","SLTA",0,"Building density scaled",25
"542","sc_Density_Buildings.25","GTA","GTB",0.004742365,"Building density scaled",25
"543","sc_Density_Buildings.25","GTA","SLTA",0,"Building density scaled",25
"544","sc_Density_Buildings.25","SLTA","GTB",0.008783626,"Building density scaled",25
"545","sc_Density_Buildings.25","SLTA","GTA",0.009978222,"Building density scaled",25
"546","sc_Density_Buildings.25","Mean",NA,0.0126372605,"Building density scaled",25
"547","sc_Density_Buildings.50","GTB","GTA",0.0330049,"Building density scaled",50
"548","sc_Density_Buildings.50","GTB","SLTA",0.036272883,"Building density scaled",50
"549","sc_Density_Buildings.50","GTA","GTB",0.039179068,"Building density scaled",50
"550","sc_Density_Buildings.50","GTA","SLTA",0,"Building density scaled",50
"551","sc_Density_Buildings.50","SLTA","GTB",0.010507696,"Building density scaled",50
"552","sc_Density_Buildings.50","SLTA","GTA",0.011339281,"Building density scaled",50
"553","sc_Density_Buildings.50","Mean",NA,0.0217173046666667,"Building density scaled",50
"554","sc_Density_Buildings.500","GTB","GTA",0,"Building density scaled",500
"555","sc_Density_Buildings.500","GTB","SLTA",0.007263934,"Building density scaled",500
"556","sc_Density_Buildings.500","GTA","GTB",0.0036847384,"Building density scaled",500
"557","sc_Density_Buildings.500","GTA","SLTA",0.00013657389,"Building density scaled",500
"558","sc_Density_Buildings.500","SLTA","GTB",0.009204227,"Building density scaled",500
"559","sc_Density_Buildings.500","SLTA","GTA",0.0095657455,"Building density scaled",500
"560","sc_Density_Buildings.500","Mean",NA,0.00497586979833333,"Building density scaled",500
"561","sc_Density_Moderns.100","GTB","GTA",0.014570469,"Building density scaled",100
"562","sc_Density_Moderns.100","GTB","SLTA",0,"Building density scaled",100
"563","sc_Density_Moderns.100","GTA","GTB",0.045179624,"Building density scaled",100
"564","sc_Density_Moderns.100","GTA","SLTA",0,"Building density scaled",100
"565","sc_Density_Moderns.100","SLTA","GTB",0.009995511,"Building density scaled",100
"566","sc_Density_Moderns.100","SLTA","GTA",0.011312252,"Building density scaled",100
"567","sc_Density_Moderns.100","Mean",NA,0.0135096426666667,"Building density scaled",100
"568","sc_Density_Moderns.1000","GTB","GTA",0,"Building density scaled",1000
"569","sc_Density_Moderns.1000","GTB","SLTA",0.0028248837,"Building density scaled",1000
"570","sc_Density_Moderns.1000","GTA","GTB",0,"Building density scaled",1000
"571","sc_Density_Moderns.1000","GTA","SLTA",0,"Building density scaled",1000
"572","sc_Density_Moderns.1000","SLTA","GTB",0.0099988375,"Building density scaled",1000
"573","sc_Density_Moderns.1000","SLTA","GTA",0.009676706,"Building density scaled",1000
"574","sc_Density_Moderns.1000","Mean",NA,0.0037500712,"Building density scaled",1000
"575","sc_Density_Moderns.200","GTB","GTA",0,"Building density scaled",200
"576","sc_Density_Moderns.200","GTB","SLTA",0.027021803,"Building density scaled",200
"577","sc_Density_Moderns.200","GTA","GTB",0.0045559267,"Building density scaled",200
"578","sc_Density_Moderns.200","GTA","SLTA",0,"Building density scaled",200
"579","sc_Density_Moderns.200","SLTA","GTB",0.008864261,"Building density scaled",200
"580","sc_Density_Moderns.200","SLTA","GTA",0.0088101225,"Building density scaled",200
"581","sc_Density_Moderns.200","Mean",NA,0.00820868553333333,"Building density scaled",200
"582","sc_Density_Moderns.25","GTB","GTA",0.014704763,"Building density scaled",25
"583","sc_Density_Moderns.25","GTB","SLTA",0,"Building density scaled",25
"584","sc_Density_Moderns.25","GTA","GTB",0.0035413753,"Building density scaled",25
"585","sc_Density_Moderns.25","GTA","SLTA",0,"Building density scaled",25
"586","sc_Density_Moderns.25","SLTA","GTB",0.022870727,"Building density scaled",25
"587","sc_Density_Moderns.25","SLTA","GTA",0.016979981,"Building density scaled",25
"588","sc_Density_Moderns.25","Mean",NA,0.00968280771666666,"Building density scaled",25
"589","sc_Density_Moderns.50","GTB","GTA",0.03841058,"Building density scaled",50
"590","sc_Density_Moderns.50","GTB","SLTA",0.002640782,"Building density scaled",50
"591","sc_Density_Moderns.50","GTA","GTB",0.018998846,"Building density scaled",50
"592","sc_Density_Moderns.50","GTA","SLTA",0,"Building density scaled",50
"593","sc_Density_Moderns.50","SLTA","GTB",0.0102631375,"Building density scaled",50
"594","sc_Density_Moderns.50","SLTA","GTA",0.010711798,"Building density scaled",50
"595","sc_Density_Moderns.50","Mean",NA,0.0135041905833333,"Building density scaled",50
"596","sc_Density_Moderns.500","GTB","GTA",0,"Building density scaled",500
"597","sc_Density_Moderns.500","GTB","SLTA",0.02578043,"Building density scaled",500
"598","sc_Density_Moderns.500","GTA","GTB",0.0033249722,"Building density scaled",500
"599","sc_Density_Moderns.500","GTA","SLTA",0,"Building density scaled",500
"600","sc_Density_Moderns.500","SLTA","GTB",0.010602286,"Building density scaled",500
"601","sc_Density_Moderns.500","SLTA","GTA",0.010301153,"Building density scaled",500
"602","sc_Density_Moderns.500","Mean",NA,0.00833480686666666,"Building density scaled",500
"603","sc_Density_Traditionals.100","GTB","GTA",0.02095602,"Building density scaled",100
"604","sc_Density_Traditionals.100","GTB","SLTA",0,"Building density scaled",100
"605","sc_Density_Traditionals.100","GTA","GTB",0.015866721,"Building density scaled",100
"606","sc_Density_Traditionals.100","GTA","SLTA",0,"Building density scaled",100
"607","sc_Density_Traditionals.100","SLTA","GTB",0.011877857,"Building density scaled",100
"608","sc_Density_Traditionals.100","SLTA","GTA",0.0107752895,"Building density scaled",100
"609","sc_Density_Traditionals.100","Mean",NA,0.00991264791666666,"Building density scaled",100
"610","sc_Density_Traditionals.1000","GTB","GTA",0,"Building density scaled",1000
"611","sc_Density_Traditionals.1000","GTB","SLTA",0.011613219,"Building density scaled",1000
"612","sc_Density_Traditionals.1000","GTA","GTB",0,"Building density scaled",1000
"613","sc_Density_Traditionals.1000","GTA","SLTA",0,"Building density scaled",1000
"614","sc_Density_Traditionals.1000","SLTA","GTB",0.00876356,"Building density scaled",1000
"615","sc_Density_Traditionals.1000","SLTA","GTA",0.011686512,"Building density scaled",1000
"616","sc_Density_Traditionals.1000","Mean",NA,0.00534388183333333,"Building density scaled",1000
"617","sc_Density_Traditionals.200","GTB","GTA",0.012777168,"Building density scaled",200
"618","sc_Density_Traditionals.200","GTB","SLTA",0,"Building density scaled",200
"619","sc_Density_Traditionals.200","GTA","GTB",0.007051843,"Building density scaled",200
"620","sc_Density_Traditionals.200","GTA","SLTA",0,"Building density scaled",200
"621","sc_Density_Traditionals.200","SLTA","GTB",0.009145147,"Building density scaled",200
"622","sc_Density_Traditionals.200","SLTA","GTA",0.010959797,"Building density scaled",200
"623","sc_Density_Traditionals.200","Mean",NA,0.00665565916666666,"Building density scaled",200
"624","sc_Density_Traditionals.25","GTB","GTA",0.091359,"Building density scaled",25
"625","sc_Density_Traditionals.25","GTB","SLTA",0,"Building density scaled",25
"626","sc_Density_Traditionals.25","GTA","GTB",0.006413657,"Building density scaled",25
"627","sc_Density_Traditionals.25","GTA","SLTA",0,"Building density scaled",25
"628","sc_Density_Traditionals.25","SLTA","GTB",0.011482029,"Building density scaled",25
"629","sc_Density_Traditionals.25","SLTA","GTA",0.011289648,"Building density scaled",25
"630","sc_Density_Traditionals.25","Mean",NA,0.0200907223333333,"Building density scaled",25
"631","sc_Density_Traditionals.50","GTB","GTA",0.040250316,"Building density scaled",50
"632","sc_Density_Traditionals.50","GTB","SLTA",0,"Building density scaled",50
"633","sc_Density_Traditionals.50","GTA","GTB",0.015423729,"Building density scaled",50
"634","sc_Density_Traditionals.50","GTA","SLTA",0,"Building density scaled",50
"635","sc_Density_Traditionals.50","SLTA","GTB",0.00681815,"Building density scaled",50
"636","sc_Density_Traditionals.50","SLTA","GTA",0.0091578895,"Building density scaled",50
"637","sc_Density_Traditionals.50","Mean",NA,0.01194168075,"Building density scaled",50
"638","sc_Density_Traditionals.500","GTB","GTA",0,"Building density scaled",500
"639","sc_Density_Traditionals.500","GTB","SLTA",0,"Building density scaled",500
"640","sc_Density_Traditionals.500","GTA","GTB",0.0028870676,"Building density scaled",500
"641","sc_Density_Traditionals.500","GTA","SLTA",0,"Building density scaled",500
"642","sc_Density_Traditionals.500","SLTA","GTB",0.0107985595,"Building density scaled",500
"643","sc_Density_Traditionals.500","SLTA","GTA",0.01052476,"Building density scaled",500
"644","sc_Density_Traditionals.500","Mean",NA,0.00403506451666666,"Building density scaled",500
