Variable,"GTB, GTA","GTB, SLTA","GTA, GTB","GTA, SLTA","SLTA, GTB","SLTA, GTA",Mean
Frac_tree.200,0.0,0.0130685065,0.0021950416,0.013380449,0.008993684,0.0102346325,0.007978718933333333
Frac_tree.25,0.0,0.010699971,0.0022144879,0.006822375,0.009948897,0.009077403,0.006460522316666666
Frac_tree.50,0.0,0.009170357,0.0024067834,0.009089037,0.008025822,0.008358373,0.006175062066666667
Frac_tree.500,0.0,0.008676353,0.032982323,0.007595981,0.012448223,0.010599968,0.012050474666666667
Frac_water.100,0.007804373,0.01724914,0.0011426717,0.014104513,0.011070464,0.00997112,0.010223713616666666
Frac_water.1000,0.0071756397,0.010988844,0.0040322794,0.007537448,0.011805053,0.012660684,0.009033324683333333
Frac_water.200,0.0070813047,0.016374964,0.0,0.0,0.009729324,0.01017792,0.007227252116666666
Frac_water.25,0.0,0.0221478,0.0,0.0,0.008967974,0.0090966495,0.006702070583333333
Frac_water.50,0.0034300464,0.02756334,0.0,0.00011177976,0.008914633,0.008786035,0.008134305693333333
Frac_water.500,0.0,0.009221356,0.0,0.0018652832,0.008529863,0.0087764375,0.004732156616666667
House,0.02876222,0.0,0.07785935,0.0,0.058646057,0.051658385,0.036154335333333336
Night,0.0,0.00981828,0.0032018453,0.00012295319,0.009701527,0.0094731115,0.005386286165
P1,0.0074560964,0.028862875,0.0020702374,0.00725028,0.009819833,0.0101596145,0.010936489383333333
P10,0.009433727,0.0,0.0049016406,0.003323544,0.011982748,0.012353265,0.006999154100000001
P11,0.011834458,0.02089537,0.0020960039,0.0020183753,0.01297158,0.011978511,0.0102990497
P12,0.013718595,0.00846132,0.0013629013,0.0,0.010399753,0.009892363,0.007305822050000001
P2,0.012305191,0.009160834,0.0024082866,0.0056054704,0.011564393,0.012503802,0.008924662833333335
P3,0.006675052,0.021695748,0.0045884144,0.0112134125,0.0093071535,0.008320746,0.010300087733333333
P4,0.012183002,0.0067797024,0.0015786012,0.003800534,0.010867714,0.010611176,0.0076367882666666664
P5,0.011701838,0.015415266,0.0018008765,0.032562967,0.0086931875,0.009556887,0.013288503666666666
P6,0.013347034,0.0037412618,0.0019385685,0.044153232,0.011308192,0.011788721,0.01437950155
P7,0.012087448,0.0,0.0049099056,0.003918769,0.012621807,0.012546103,0.007680672100000001
P8,0.01016046,0.011199108,0.005712629,0.0077498727,0.011211921,0.010160383,0.00936572895
P9,0.01159268,0.0,0.0029103307,0.002571045,0.015778411,0.017242609,0.008349179283333332
sc_Density_Buildings.100,0.00912678,0.003310608,0.04140302,0.057411816,0.009218648,0.013885092,0.022392660666666665
sc_Density_Buildings.1000,0.0,0.0068275305,0.001498161,0.004459358,0.011019972,0.009835929,0.0056068250833333335
sc_Density_Buildings.200,0.0,0.0,0.0060443883,0.015526683,0.011143875,0.011329173,0.0073406865499999994
sc_Density_Buildings.25,0.05231935,0.018544734,0.0028701846,0.016489811,0.008783626,0.009978222,0.01816432126666667
sc_Density_Buildings.50,0.0330049,0.0,0.037580248,0.04970589,0.010507696,0.011339281,0.023689669166666667
sc_Density_Buildings.500,0.0,0.0,0.0045708213,0.0008472387,0.009204227,0.0095657455,0.00403133875
sc_Density_Moderns.100,0.014570469,0.0,0.060919676,0.007819901,0.009995511,0.011312252,0.017436301499999998
sc_Density_Moderns.1000,0.0,0.01597373,0.0013915233,0.0009184319,0.0099988375,0.009676706,0.006326538116666666
sc_Density_Moderns.200,0.0,0.0,0.02364201,0.006788583,0.008864261,0.0088101225,0.008017496083333334
sc_Density_Moderns.25,0.014704763,0.0011957961,0.011342773,0.0,0.022870727,0.016979981,0.011182340016666667
sc_Density_Moderns.50,0.03841058,0.0014976707,0.018970085,0.0058305943,0.0102631375,0.010711798,0.014280644250000002
sc_Density_Moderns.500,0.0,0.0,0.005933173,0.0046018786,0.010602286,0.010301153,0.005239748433333333
sc_Density_Traditionals.100,0.02095602,0.0032111956,0.04918912,0.0,0.011877857,0.0107752895,0.016001580350000003
sc_Density_Traditionals.1000,0.0,0.0,0.0,0.00086390605,0.00876356,0.011686512,0.0035523296750000002
sc_Density_Traditionals.200,0.012777168,0.0,0.0033294728,0.0,0.009145147,0.010959797,0.006035264133333333
sc_Density_Traditionals.25,0.091359,0.009776969,0.002341246,0.0,0.011482029,0.011289648,0.021041482
sc_Density_Traditionals.50,0.040250316,0.0,0.05587773,0.024320802,0.00681815,0.0091578895,0.022737481249999997
sc_Density_Traditionals.500,0.0,0.0,0.005038697,0.0061700903,0.0107985595,0.01052476,0.005422017800000001
