test_site,ji,Model_Type,model_name,house_num,house_name,constraints,prob
Tanganya,20,TS,Optimal,0,All,Spatial,1
Tanganya,21,NullSmart,Buildings,0,All,Spatial,0.7283018867924528
Tanganya,21,NullRandom,Random,0,All,Spatial,0.4908424908424908
Tanganya,21,Model,BRT,0,All,Spatial,0.5916515426497277
Tanganya,21,TS,Optimal,0,All,Spatial,1
Tanganya,22,NullSmart,Buildings,0,All,Spatial,0.7192982456140351
Tanganya,22,NullRandom,Random,0,All,Spatial,0.4963768115942029
Tanganya,22,Model,BRT,0,All,Spatial,0.6
Tanganya,22,TS,Optimal,0,All,Spatial,1
Tanganya,23,NullSmart,Buildings,0,All,Spatial,0.7840909090909091
Tanganya,23,NullRandom,Random,0,All,Spatial,0.4907749077490775
Tanganya,23,Model,BRT,0,All,Spatial,0.6014897579143389
Tanganya,23,TS,Optimal,0,All,Spatial,1
Tanganya,24,NullSmart,Buildings,0,All,Spatial,0.7591240875912408
Tanganya,24,NullRandom,Random,0,All,Spatial,0.42592592592592593
Tanganya,24,Model,BRT,0,All,Spatial,0.5506993006993007
Tanganya,24,TS,Optimal,0,All,Spatial,1
Tanganya,0,NullSmart,Buildings,1,Inside,Spatial,0.4444444444444444
Tanganya,0,NullRandom,Random,1,Inside,Spatial,0.5648148148148148
Tanganya,0,Model,BRT,1,Inside,Spatial,0.42272727272727273
Tanganya,0,TS,Optimal,1,Inside,Spatial,1
Tanganya,1,NullSmart,Buildings,1,Inside,Spatial,0.5357142857142857
Tanganya,1,NullRandom,Random,1,Inside,Spatial,0.5526315789473685
Tanganya,1,Model,BRT,1,Inside,Spatial,0.4847161572052402
Tanganya,1,TS,Optimal,1,Inside,Spatial,1
Tanganya,2,NullSmart,Buildings,1,Inside,Spatial,0.5483870967741935
Tanganya,2,NullRandom,Random,1,Inside,Spatial,0.4959349593495935
Tanganya,2,Model,BRT,1,Inside,Spatial,0.502127659574468
Tanganya,2,TS,Optimal,1,Inside,Spatial,1
Tanganya,3,NullSmart,Buildings,1,Inside,Spatial,0.559322033898305
Tanganya,3,NullRandom,Random,1,Inside,Spatial,0.5
Tanganya,3,Model,BRT,1,Inside,Spatial,0.4808510638297872
Tanganya,3,TS,Optimal,1,Inside,Spatial,1
Tanganya,4,NullSmart,Buildings,1,Inside,Spatial,0.46017699115044247
Tanganya,4,NullRandom,Random,1,Inside,Spatial,0.5309734513274337
Tanganya,4,Model,BRT,1,Inside,Spatial,0.5288888888888889
Tanganya,4,TS,Optimal,1,Inside,Spatial,1
Tanganya,5,NullSmart,Buildings,1,Inside,Spatial,0.5344827586206896
Tanganya,5,NullRandom,Random,1,Inside,Spatial,0.4444444444444444
Tanganya,5,Model,BRT,1,Inside,Spatial,0.4425531914893617
Tanganya,5,TS,Optimal,1,Inside,Spatial,1
Tanganya,6,NullSmart,Buildings,1,Inside,Spatial,0.4205607476635514
Tanganya,6,NullRandom,Random,1,Inside,Spatial,0.5283018867924528
Tanganya,6,Model,BRT,1,Inside,Spatial,0.49537037037037035
Tanganya,6,TS,Optimal,1,Inside,Spatial,1
Tanganya,7,NullSmart,Buildings,1,Inside,Spatial,0.4774774774774775
Tanganya,7,NullRandom,Random,1,Inside,Spatial,0.48598130841121495
Tanganya,7,Model,BRT,1,Inside,Spatial,0.4955357142857143
Tanganya,7,TS,Optimal,1,Inside,Spatial,1
Tanganya,8,NullSmart,Buildings,1,Inside,Spatial,0.45535714285714285
Tanganya,8,NullRandom,Random,1,Inside,Spatial,0.35454545454545455
Tanganya,8,Model,BRT,1,Inside,Spatial,0.42857142857142855
Tanganya,8,TS,Optimal,1,Inside,Spatial,1
Tanganya,9,NullSmart,Buildings,1,Inside,Spatial,0.5277777777777778
Tanganya,9,NullRandom,Random,1,Inside,Spatial,0.5929203539823009
Tanganya,9,Model,BRT,1,Inside,Spatial,0.4796380090497738
Tanganya,9,TS,Optimal,1,Inside,Spatial,1
Tanganya,10,NullSmart,Buildings,1,Inside,Spatial,0.49166666666666664
Tanganya,10,NullRandom,Random,1,Inside,Spatial,0.39316239316239315
Tanganya,10,Model,BRT,1,Inside,Spatial,0.5316455696202531
Tanganya,10,TS,Optimal,1,Inside,Spatial,1
Tanganya,11,NullSmart,Buildings,1,Inside,Spatial,0.5043478260869565
Tanganya,11,NullRandom,Random,1,Inside,Spatial,0.6106194690265486
Tanganya,11,Model,BRT,1,Inside,Spatial,0.5021645021645021
Tanganya,11,TS,Optimal,1,Inside,Spatial,1
Tanganya,12,NullSmart,Buildings,1,Inside,Spatial,0.45901639344262296
Tanganya,12,NullRandom,Random,1,Inside,Spatial,0.5833333333333334
Tanganya,12,Model,BRT,1,Inside,Spatial,0.48535564853556484
Tanganya,12,TS,Optimal,1,Inside,Spatial,1
Tanganya,13,NullSmart,Buildings,1,Inside,Spatial,0.42857142857142855
Tanganya,13,NullRandom,Random,1,Inside,Spatial,0.6146788990825688
Tanganya,13,Model,BRT,1,Inside,Spatial,0.5529953917050692
Tanganya,13,TS,Optimal,1,Inside,Spatial,1
Tanganya,14,NullSmart,Buildings,1,Inside,Spatial,0.4727272727272727
Tanganya,14,NullRandom,Random,1,Inside,Spatial,0.5
Tanganya,14,Model,BRT,1,Inside,Spatial,0.46153846153846156
Tanganya,14,TS,Optimal,1,Inside,Spatial,1
Tanganya,15,NullSmart,Buildings,1,Inside,Spatial,0.5289256198347108
Tanganya,15,NullRandom,Random,1,Inside,Spatial,0.4796747967479675
Tanganya,15,Model,BRT,1,Inside,Spatial,0.4322033898305085
Tanganya,15,TS,Optimal,1,Inside,Spatial,1
Tanganya,16,NullSmart,Buildings,1,Inside,Spatial,0.49557522123893805
Tanganya,16,NullRandom,Random,1,Inside,Spatial,0.5086206896551724
Tanganya,16,Model,BRT,1,Inside,Spatial,0.5283842794759825
Tanganya,16,TS,Optimal,1,Inside,Spatial,1
Tanganya,17,NullSmart,Buildings,1,Inside,Spatial,0.5537190082644629
Tanganya,17,NullRandom,Random,1,Inside,Spatial,0.5042735042735043
Tanganya,17,Model,BRT,1,Inside,Spatial,0.49794238683127573
Tanganya,17,TS,Optimal,1,Inside,Spatial,1
Tanganya,18,NullSmart,Buildings,1,Inside,Spatial,0.4152542372881356
Tanganya,18,NullRandom,Random,1,Inside,Spatial,0.39473684210526316
Tanganya,18,Model,BRT,1,Inside,Spatial,0.47863247863247865
Tanganya,18,TS,Optimal,1,Inside,Spatial,1
Tanganya,19,NullSmart,Buildings,1,Inside,Spatial,0.5
Tanganya,19,NullRandom,Random,1,Inside,Spatial,0.5701754385964912
Tanganya,19,Model,BRT,1,Inside,Spatial,0.4488888888888889
Tanganya,19,TS,Optimal,1,Inside,Spatial,1
Tanganya,20,NullSmart,Buildings,1,Inside,Spatial,0.43636363636363634
Tanganya,20,NullRandom,Random,1,Inside,Spatial,0.5225225225225225
Tanganya,20,Model,BRT,1,Inside,Spatial,0.44
Tanganya,20,TS,Optimal,1,Inside,Spatial,1
Tanganya,21,NullSmart,Buildings,1,Inside,Spatial,0.5785123966942148
Tanganya,21,NullRandom,Random,1,Inside,Spatial,0.4083333333333333
Tanganya,21,Model,BRT,1,Inside,Spatial,0.45228215767634855
Tanganya,21,TS,Optimal,1,Inside,Spatial,1
Tanganya,22,NullSmart,Buildings,1,Inside,Spatial,0.5535714285714286
Tanganya,22,NullRandom,Random,1,Inside,Spatial,0.5398230088495575
Tanganya,22,Model,BRT,1,Inside,Spatial,0.42543859649122806
Tanganya,22,TS,Optimal,1,Inside,Spatial,1
Tanganya,23,NullSmart,Buildings,1,Inside,Spatial,0.5263157894736842
Tanganya,23,NullRandom,Random,1,Inside,Spatial,0.41739130434782606
Tanganya,23,Model,BRT,1,Inside,Spatial,0.5151515151515151
Tanganya,23,TS,Optimal,1,Inside,Spatial,1
Tanganya,24,NullSmart,Buildings,1,Inside,Spatial,0.5391304347826087
Tanganya,24,NullRandom,Random,1,Inside,Spatial,0.48148148148148145
Tanganya,24,Model,BRT,1,Inside,Spatial,0.4794520547945205
Tanganya,24,TS,Optimal,1,Inside,Spatial,1
Tanganya,0,NullSmart,Buildings,2,Outside,Spatial,0.7641509433962265
Tanganya,0,NullRandom,Random,2,Outside,Spatial,0.5042735042735043
Tanganya,0,Model,BRT,2,Outside,Spatial,0.5481171548117155
Tanganya,0,TS,Optimal,2,Outside,Spatial,1
Tanganya,1,NullSmart,Buildings,2,Outside,Spatial,0.6692913385826772
Tanganya,1,NullRandom,Random,2,Outside,Spatial,0.43243243243243246
Tanganya,1,Model,BRT,2,Outside,Spatial,0.5588235294117647
Tanganya,1,TS,Optimal,2,Outside,Spatial,1
Tanganya,2,NullSmart,Buildings,2,Outside,Spatial,0.6814159292035398
Tanganya,2,NullRandom,Random,2,Outside,Spatial,0.47540983606557374
Tanganya,2,Model,BRT,2,Outside,Spatial,0.5938864628820961
Tanganya,2,TS,Optimal,2,Outside,Spatial,1
Tanganya,3,NullSmart,Buildings,2,Outside,Spatial,0.7016129032258065
Tanganya,3,NullRandom,Random,2,Outside,Spatial,0.5338345864661654
Tanganya,3,Model,BRT,2,Outside,Spatial,0.5787234042553191
Tanganya,3,TS,Optimal,2,Outside,Spatial,0.9921875
Tanganya,4,NullSmart,Buildings,2,Outside,Spatial,0.7192982456140351
Tanganya,4,NullRandom,Random,2,Outside,Spatial,0.48672566371681414
Tanganya,4,Model,BRT,2,Outside,Spatial,0.5748987854251012
Tanganya,4,TS,Optimal,2,Outside,Spatial,1
Tanganya,5,NullSmart,Buildings,2,Outside,Spatial,0.7421875
Tanganya,5,NullRandom,Random,2,Outside,Spatial,0.5045045045045045
Tanganya,5,Model,BRT,2,Outside,Spatial,0.5775862068965517
Tanganya,5,TS,Optimal,2,Outside,Spatial,1
Tanganya,6,NullSmart,Buildings,2,Outside,Spatial,0.7457627118644068
Tanganya,6,NullRandom,Random,2,Outside,Spatial,0.3790322580645161
Tanganya,6,Model,BRT,2,Outside,Spatial,0.538135593220339
Tanganya,6,TS,Optimal,2,Outside,Spatial,1
Tanganya,7,NullSmart,Buildings,2,Outside,Spatial,0.7575757575757576
Tanganya,7,NullRandom,Random,2,Outside,Spatial,0.5483870967741935
Tanganya,7,Model,BRT,2,Outside,Spatial,0.5739910313901345
Tanganya,7,TS,Optimal,2,Outside,Spatial,1
Tanganya,8,NullSmart,Buildings,2,Outside,Spatial,0.7086614173228346
Tanganya,8,NullRandom,Random,2,Outside,Spatial,0.5508474576271186
Tanganya,8,Model,BRT,2,Outside,Spatial,0.5826446280991735
Tanganya,8,TS,Optimal,2,Outside,Spatial,0.992
Tanganya,9,NullSmart,Buildings,2,Outside,Spatial,0.7786885245901639
Tanganya,9,NullRandom,Random,2,Outside,Spatial,0.475
Tanganya,9,Model,BRT,2,Outside,Spatial,0.568075117370892
Tanganya,9,TS,Optimal,2,Outside,Spatial,1
Tanganya,10,NullSmart,Buildings,2,Outside,Spatial,0.6776859504132231
Tanganya,10,NullRandom,Random,2,Outside,Spatial,0.5491803278688525
Tanganya,10,Model,BRT,2,Outside,Spatial,0.5336134453781513
Tanganya,10,TS,Optimal,2,Outside,Spatial,1
Tanganya,11,NullSmart,Buildings,2,Outside,Spatial,0.6693548387096774
Tanganya,11,NullRandom,Random,2,Outside,Spatial,0.5
Tanganya,11,Model,BRT,2,Outside,Spatial,0.5203252032520326
Tanganya,11,TS,Optimal,2,Outside,Spatial,1
Tanganya,12,NullSmart,Buildings,2,Outside,Spatial,0.6194690265486725
Tanganya,12,NullRandom,Random,2,Outside,Spatial,0.4098360655737705
Tanganya,12,Model,BRT,2,Outside,Spatial,0.5219123505976095
Tanganya,12,TS,Optimal,2,Outside,Spatial,1
Tanganya,13,NullSmart,Buildings,2,Outside,Spatial,0.7142857142857143
Tanganya,13,NullRandom,Random,2,Outside,Spatial,0.5588235294117647
Tanganya,13,Model,BRT,2,Outside,Spatial,0.5923076923076923
Tanganya,13,TS,Optimal,2,Outside,Spatial,1
Tanganya,14,NullSmart,Buildings,2,Outside,Spatial,0.6141732283464567
Tanganya,14,NullRandom,Random,2,Outside,Spatial,0.5086206896551724
Tanganya,14,Model,BRT,2,Outside,Spatial,0.4775510204081633
Tanganya,14,TS,Optimal,2,Outside,Spatial,1
Tanganya,15,NullSmart,Buildings,2,Outside,Spatial,0.5729166666666666
Tanganya,15,NullRandom,Random,2,Outside,Spatial,0.5714285714285714
Tanganya,15,Model,BRT,2,Outside,Spatial,0.6188340807174888
Tanganya,15,TS,Optimal,2,Outside,Spatial,1
Tanganya,16,NullSmart,Buildings,2,Outside,Spatial,0.6890756302521008
Tanganya,16,NullRandom,Random,2,Outside,Spatial,0.5752212389380531
Tanganya,16,Model,BRT,2,Outside,Spatial,0.5450643776824035
Tanganya,16,TS,Optimal,2,Outside,Spatial,1
Tanganya,17,NullSmart,Buildings,2,Outside,Spatial,0.7413793103448276
Tanganya,17,NullRandom,Random,2,Outside,Spatial,0.4318181818181818
Tanganya,17,Model,BRT,2,Outside,Spatial,0.5741444866920152
Tanganya,17,TS,Optimal,2,Outside,Spatial,1
Tanganya,18,NullSmart,Buildings,2,Outside,Spatial,0.728
Tanganya,18,NullRandom,Random,2,Outside,Spatial,0.5045045045045045
Tanganya,18,Model,BRT,2,Outside,Spatial,0.5585585585585585
Tanganya,18,TS,Optimal,2,Outside,Spatial,1
Tanganya,19,NullSmart,Buildings,2,Outside,Spatial,0.7304347826086957
Tanganya,19,NullRandom,Random,2,Outside,Spatial,0.4358974358974359
Tanganya,19,Model,BRT,2,Outside,Spatial,0.5714285714285714
Tanganya,19,TS,Optimal,2,Outside,Spatial,1
Tanganya,20,NullSmart,Buildings,2,Outside,Spatial,0.6607142857142857
Tanganya,20,NullRandom,Random,2,Outside,Spatial,0.38596491228070173
Tanganya,20,Model,BRT,2,Outside,Spatial,0.5191489361702127
Tanganya,20,TS,Optimal,2,Outside,Spatial,1
Tanganya,21,NullSmart,Buildings,2,Outside,Spatial,0.7401574803149606
Tanganya,21,NullRandom,Random,2,Outside,Spatial,0.5258620689655172
Tanganya,21,Model,BRT,2,Outside,Spatial,0.5645161290322581
Tanganya,21,TS,Optimal,2,Outside,Spatial,1
Tanganya,22,NullSmart,Buildings,2,Outside,Spatial,0.7130434782608696
Tanganya,22,NullRandom,Random,2,Outside,Spatial,0.46296296296296297
Tanganya,22,Model,BRT,2,Outside,Spatial,0.5508474576271186
Tanganya,22,TS,Optimal,2,Outside,Spatial,1
Tanganya,23,NullSmart,Buildings,2,Outside,Spatial,0.7345132743362832
Tanganya,23,NullRandom,Random,2,Outside,Spatial,0.4609375
Tanganya,23,Model,BRT,2,Outside,Spatial,0.575
Tanganya,23,TS,Optimal,2,Outside,Spatial,1
Tanganya,24,NullSmart,Buildings,2,Outside,Spatial,0.6538461538461539
Tanganya,24,NullRandom,Random,2,Outside,Spatial,0.608
Tanganya,24,Model,BRT,2,Outside,Spatial,0.5823754789272031
Tanganya,24,TS,Optimal,2,Outside,Spatial,1
Bantou,0,NullSmart,Buildings,0,All,Spatial,0.7386363636363636
