train,validate,test,lambda,alpha,validate_mae_mean,validate_mae_sd,prop_Mn,test_mae_mean,test_mae_sd
Bafodia,Bantou,Tanganya,1.2264335322884822e-6,0.9194490857305937,0.026374558899382686,0.004072241880282112,0.2561588080545956,0.029019823969819034,8.15844425797853e-4
Bafodia,Tanganya,Bantou,4.784430819397881e-5,0.7883215940580703,0.029019823969819034,8.158444257978537e-4,0.2561588080545956,0.03765111613836399,0.02112335546362056
Bantou,Bafodia,Tanganya,0.0014456601378713496,0.9458931822679005,0.08186849890823729,0.006811150064346104,0.2561588080545956,0.03253243756720323,0.00164492559664052
Bantou,Tanganya,Bafodia,3.936540110838696e-4,0.8782049909583293,0.023940891302937622,9.282284011435073e-4,0.2561588080545956,0.08233531930641917,0.006638330954557812
Tanganya,Bafodia,Bantou,8.091885496518021e-10,0.7603260916494764,0.0821534137467738,0.006577762428708066,0.2561588080545956,0.4816739773820077,0.11542645100603378
Tanganya,Bantou,Bafodia,4.0893163087494795e-4,0.8259358087182045,0.02268002876158622,9.851480876017747e-4,0.2561588080545956,0.08284807079838782,0.00649566607925627
